instance_name	LB	OPT
class3_20_10_2	8	9
class3_20_10_3	8	10
class3_20_10_4	7	9
class3_20_10_5	7	9
class3_20_10_6	8	10
class3_20_10_7	8	9
class3_20_10_8	8	10
class3_20_10_9	8	10
class3_40_10_0	14	17
class3_40_10_1	14	18
class3_40_10_2	14	16
class3_40_10_3	14	18
class3_40_10_4	14	16
class3_40_10_5	14	17
class3_40_10_6	14	18
class3_40_10_7	14	17
class3_40_10_8	14	16
class3_40_10_9	15	17
class3_60_10_0	21	24
class3_60_10_1	20	23
class3_60_10_2	20	24
class3_60_10_3	22	27
class3_60_10_4	20	24
class3_60_10_5	20	26
class3_60_10_6	20	24
class3_60_10_7	22	26
class3_60_10_8	20	24
class3_60_10_9	21	26
class3_120_10_0	40	46
class3_120_10_1	40	45
class3_120_10_2	39	45
class3_120_10_3	40	46
class3_120_10_4	40	49
class3_120_10_5	39	45
class3_120_10_6	39	46
class3_120_10_7	39	44
class3_120_10_8	39	45
class3_120_10_9	39	45
class3_250_10_0	82	89
class3_250_10_1	80	89
class3_250_10_2	82	90
class3_250_10_3	82	89
class3_250_10_4	81	91
class3_250_10_5	80	89
class3_250_10_6	81	91
class3_250_10_7	81	94
class3_250_10_8	81	91
class3_250_10_9	81	89
class3_500_10_0	158	-1
class3_500_10_1	158	-1
class3_500_10_2	162	-1
class3_500_10_3	157	-1
class3_500_10_4	157	-1
class3_500_10_5	160	-1
class3_500_10_6	156	-1
class3_500_10_7	159	-1
class3_500_10_8	160	-1
class3_500_10_9	160	-1
class4_20_3_0	8	10
class4_20_3_1	9	9
class4_20_3_2	7	8
class4_20_3_3	8	8
class4_20_3_4	10	11
class4_20_3_5	8	10
class4_20_3_6	8	9
class4_20_3_7	7	7
class4_20_3_8	9	10
class4_20_3_9	9	10
class4_40_3_0	14	15
class4_40_3_1	16	16
class4_40_3_2	19	20
class4_40_3_3	14	15
class4_40_3_4	19	20
class4_40_3_5	15	15
class4_40_3_6	13	14
class4_40_3_7	15	16
class4_40_3_8	16	17
class4_40_3_9	14	14
class4_60_3_0	24	24
class4_60_3_1	22	23
class4_60_3_2	24	26
class4_60_3_3	22	24
class4_60_3_4	24	24
class4_60_3_5	25	26
class4_60_3_6	24	25
class4_60_3_7	26	28
class4_60_3_8	24	25
class4_60_3_9	21	22
class4_120_3_0	45	46
class4_120_3_1	43	45
class4_120_3_2	44	45
class4_120_3_3	45	45
class4_120_3_4	43	44
class4_120_3_5	43	45
class4_120_3_6	46	47
class4_120_3_7	43	43
class4_120_3_8	42	42
class4_120_3_9	44	44
class4_250_3_0	90	94
class4_250_3_1	87	87
class4_250_3_2	93	94
class4_250_3_3	93	95
class4_250_3_4	94	94
class4_250_3_5	87	87
class4_250_3_6	89	91
class4_250_3_7	91	91
class4_250_3_8	95	95
class4_250_3_9	89	90
class4_500_3_0	179	-1
class4_500_3_1	179	-1
class4_500_3_2	178	-1
class4_500_3_3	173	-1
class4_500_3_4	179	-1
class4_500_3_5	182	-1
class4_500_3_6	179	-1
class4_500_3_7	184	-1
